param N := 16;
param M := 1;
param Q := 2;

#--- Objective function

param c := 
	1 1
	2 1
	3 1
	4 1
	5 1
	6 1
	7 1
	8 1
	9 1
	10 1
	11 1
	12 1
	13 1
	14 1
	15 1
	16 1
;

param d := 
	1 1
;

#--- Constraint 1
param coefx : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 :=
	1 71550.380148 53337.440493 101002.150804 84790.251021 45183.481502 40184.081261 38144.468677 35127.384550 106674.880987 101002.150804 84790.251021 90366.963003 80368.162522 76288.937353 70254.769099 169319.859772
	2 25516.552258 12621.267323 15854.626641 9484.378816 3503.888900 2557.303348 1583.402379 639.388942 25242.534646 15854.626641 9484.378816 7007.777800 5114.606696 3166.804758 1278.777885 0.000000;

param coefy : 1 :=
	1 32768.000000
	2 0.000000;

